date,1. open,2. high,3. low,4. close,5. volume
8/19/2011,10.9,10.9,10.9,10.9,0
8/20/2011,11.85,11.85,11.15,11.69,1
8/21/2011,11.7,11.7,11.7,11.7,0
8/22/2011,11.7,11.7,11.7,11.7,0
8/23/2011,11.7,11.7,11.7,11.7,0
8/25/2011,11.5,11.5,10.5,10.5,2
8/26/2011,10,10,10,10,1
8/31/2011,8,8,8,8,1
9/2/2011,8,8.31,5.25,8.22,164
9/3/2011,8.12,8.88,8,8.88,79
9/5/2011,8.89,8.89,8.89,8.89,0
9/7/2011,8,8,8,8,21
9/8/2011,8.5,8.5,8.5,8.5,3
9/9/2011,7.98,7.98,7.4,7.4,6
9/14/2011,5.8,6,5.65,5.97,58
9/15/2011,5.58,5.72,5.52,5.53,61
9/16/2011,5.12,5.24,5,5.13,80
9/17/2011,4.82,4.87,4.8,4.85,39
9/18/2011,4.87,4.87,4.87,4.87,0
9/19/2011,4.87,4.92,4.81,4.92,119
9/20/2011,4.9,4.9,4.9,4.9,20
9/21/2011,4.92,5.66,4.92,5.66,89
9/22/2011,5.7,5.79,5.66,5.66,17
9/23/2011,5.68,5.72,5.68,5.72,43
9/24/2011,5.7,5.72,5.7,5.72,20
9/25/2011,5.7,5.76,5.68,5.68,90
9/26/2011,6.05,6.05,6.05,6.05,12
9/27/2011,6.06,6.06,4.8,4.8,39
9/28/2011,4.85,4.92,4.85,4.92,24
9/29/2011,4.9,4.91,4.82,4.82,83
9/30/2011,4.81,4.82,4.81,4.82,46
10/4/2011,4.85,4.87,4.83,4.87,30
10/5/2011,4.86,5.3,4.8,4.98,142
10/6/2011,4.92,6.25,4.8,4.92,113
10/7/2011,4.88,4.99,4.8,4.8,170
10/8/2011,4.8,4.81,4.59,4.61,94
10/9/2011,4.57,4.57,3.99,3.99,56
10/10/2011,3.89,3.89,3.89,3.89,11
10/11/2011,3.99,4.51,3.99,4.51,132
10/12/2011,3.98,4.1,3.98,4.1,78
10/13/2011,3.95,3.99,3.93,3.93,79
10/14/2011,3.93,3.97,3.93,3.97,109
10/15/2011,4.05,4.05,4.05,4.05,96
10/18/2011,3.92,3.92,3.92,3.92,10
10/21/2011,2.22,2.29,2.22,2.24,61
10/22/2011,2.22,2.27,2.22,2.27,41
10/25/2011,2.99,2.99,2.92,2.92,64
10/26/2011,2.66,2.72,2.66,2.72,130
10/27/2011,2.72,3,2.67,2.69,268
